key:ty9818228908;value:93957605363
key:ty3487648227;value:44516726606
key:ty9871469764;value:58658016601
key:ty7006885331;value:7807747707
key:ty6037061785;value:53355594105
key:ty7418470042;value:99193384021
key:ty7744902454;value:68827949641
key:ty547779969;value:41944007567
key:ty7759613057;value:92254313458
key:ty7674070978;value:33671459008
key:ty743887968;value:32053028419
key:ty9486515440;value:66135378864
key:ty8281667226;value:50416358999
key:ty594426123;value:72524179882
key:ty1298719750;value:90859995116
key:ty4598896847;value:53670512425
key:ty3971039003;value:13269511401
key:ty4481279408;value:57145584919
key:ty4700379281;value:71504779348
key:ty7236673351;value:67933756529
key:ty6669820731;value:77671658277
key:ty3462172406;value:43969302044
key:ty8021042092;value:9318346293
key:ty8757429819;value:83032445970
key:ty8542165030;value:23236605190
key:ty4511787590;value:20670484480
key:ty1446279220;value:74265945460
key:ty8336140963;value:68964628120
key:ty4318086414;value:2850695403
key:ty2682652354;value:48245553314
key:ty2214777598;value:51329731610
key:ty6641345098;value:76567599465
key:ty7203154070;value:83099360480
key:ty2525841901;value:48990024364
key:ty4315041771;value:39307375889
key:ty5989080028;value:5586444037
key:ty3795092524;value:83162468759
key:ty1320662913;value:40263388159
key:ty5631208806;value:74728570807
key:ty960814001;value:37335314503
key:ty9249300719;value:81115554746
key:ty1936697622;value:16690487045
key:ty2727719209;value:96351683967
key:ty7613330293;value:82942891369
key:ty94988585;value:89430162856
key:ty5476894138;value:98983034196
key:ty6761190248;value:56987373725
key:ty6240585376;value:54012208774
key:ty5946755033;value:66256798645
key:ty2864666069;value:31703566449
key:ty7586599088;value:5396884055
key:ty104631694;value:40145721490
key:ty2392365050;value:49027632344
key:ty9830644120;value:17662871119
key:ty1455092873;value:68598393102
key:ty9838299411;value:73772415195
key:ty1569497928;value:13859723805
key:ty1922224956;value:17850882130
key:ty5782755484;value:25231837330
key:ty8143831443;value:9681060913
key:ty3213240464;value:68613410464
key:ty4464924262;value:34643700
key:ty2973073776;value:95127631888
key:ty8823124995;value:23680723593
key:ty8558678883;value:43561300950
key:ty8743165295;value:79803123168
key:ty3548558981;value:22422179328
key:ty169953107;value:37349781062
key:ty8096224852;value:18897394745
key:ty1406240015;value:23426990186
key:ty8714426658;value:13576882028
key:ty6864601883;value:91656338310
key:ty8564818939;value:16942471269
key:ty3500976416;value:41416354505
key:ty9205116641;value:93021511866
key:ty2300131708;value:64511173296
key:ty4166603098;value:75706807300
key:ty3416503823;value:90118027832
key:ty5223239719;value:57635856494
key:ty6781170239;value:71924288567
key:ty1222486684;value:8136482025
key:ty8313510285;value:55224271479
key:ty413967752;value:93805670491
key:ty6888382045;value:40663664580
key:ty405343626;value:94025298571
key:ty5484228566;value:97399839447
key:ty6582008105;value:92344538554
key:ty5836163235;value:71951250931
key:ty3995981301;value:39751694285
key:ty2256733063;value:41361214977
key:ty5558930273;value:49998456597
key:ty6172341199;value:11762084624
key:ty1907872246;value:24702687781
key:ty7674082367;value:41314391314
key:ty3555554848;value:53566929555
key:ty6720152720;value:17349434662
key:ty6017266562;value:55967703249
key:ty7219313420;value:27640308417
key:ty7708331051;value:9621829377
key:ty227058927;value:95640514196
key:ty3731358570;value:49655704584
key:ty3000883264;value:39077859096
key:ty6538228628;value:3293252392
key:ty7807009893;value:33927032886
key:ty145055614;value:93717969874
key:ty7879588477;value:86701760833
key:ty3635933472;value:85542917243
key:ty3146318956;value:98698136530
key:ty6863303215;value:66476376080
key:ty4336545711;value:73398517749
key:ty5064995347;value:4712417459
key:ty3067238490;value:54585419889
key:ty1037561750;value:5785850862
key:ty7637242518;value:50170234449
key:ty8109575733;value:39619014038
key:ty8242701086;value:28585407023
key:ty6135131527;value:28682717388
key:ty1865127417;value:5941453623
key:ty6271013366;value:56076526669
key:ty6496709463;value:85963036812
key:ty584008872;value:15053424029
key:ty6797153449;value:5489940782
key:ty2224085932;value:94979749277
key:ty4788027985;value:26566586971
key:ty1862837994;value:29150221164
key:ty3274385022;value:80426170857
key:ty4762008465;value:47712943823
key:ty5860080331;value:18235357515
key:ty9700938468;value:74433559161
key:ty1680108448;value:37623312269
key:ty3523784622;value:32421623479
key:ty3400092502;value:15616037643
key:ty1158253699;value:13037845765
key:ty1239403427;value:23929944739
key:ty2995862529;value:99750248549
key:ty5360036172;value:82346663781
key:ty4019573558;value:74898485015
key:ty4245740167;value:28951755642
key:ty9289518887;value:23772072715
key:ty7527260340;value:59316033328
key:ty6156347258;value:64740038049
key:ty9276148990;value:18168845168
key:ty7112013033;value:40488040029
key:ty3236953239;value:62353450861
key:ty5514047901;value:38504347839
key:ty4051868690;value:6518851112
key:ty3831742266;value:15446626911
key:ty6971411774;value:10994593266
key:ty7789523617;value:21476570254
key:ty538513358;value:15764585811
key:ty645470029;value:81150919562
key:ty1689882683;value:24697306677
key:ty9622975082;value:25658041369
key:ty8479206657;value:65824175590
key:ty592241972;value:89499097323
key:ty3471049036;value:99328424144
key:ty2718320139;value:26937683146
key:ty6663680464;value:67306962689
key:ty5329774800;value:88835185699
key:ty9300463801;value:30805048661
key:ty8626215067;value:16371784119
key:ty2307407729;value:82284505401
key:ty8581061251;value:10523064493
key:ty2351687165;value:76542121761
key:ty4825412501;value:30330994772
key:ty2865401139;value:60408887229
key:ty2659933409;value:89032401039
key:ty116924238;value:22202984718
key:ty7740259163;value:20001409606
key:ty9200578235;value:8740341763
key:ty6132883613;value:39094073579
key:ty7157656631;value:47067680328
key:ty9321101381;value:91919742652
key:ty3857734881;value:88929853623
key:ty6790017936;value:9389092672
key:ty9495092774;value:98342872523
key:ty6718074789;value:91255838637
key:ty1675284518;value:27674731058
key:ty3576956188;value:81982711231
key:ty9404590089;value:51968433944
key:ty9001808953;value:4091877836
key:ty8401412526;value:18639276201
key:ty9306197409;value:7672972684
key:ty6254766452;value:30661362046
key:ty8711540284;value:16787186366
key:ty5382707412;value:27760799174
key:ty8129652080;value:77454175272
key:ty7659602033;value:19046178960
key:ty7362533060;value:79905232424
key:ty9220190345;value:29266838797
key:ty8503682498;value:24766930160
key:ty3297191519;value:93031199962
key:ty6615232623;value:91380568487
key:ty5419182323;value:72414853373
key:ty9640281901;value:33531265243
key:ty8101179390;value:60664770391
key:ty6480162265;value:69436168478
key:ty276344796;value:62688158987
key:ty5244291210;value:8218921473
key:ty5519994923;value:8542724020
key:ty6302073701;value:36335174631
key:ty4141639483;value:38553150082
key:ty8067024902;value:20278680223
key:ty9248306423;value:71836740941
key:ty125379571;value:60110354528
key:ty443074725;value:8545028591
key:ty8149224631;value:20817721395
key:ty1249118620;value:55605806376
key:ty7630193337;value:96081525562
key:ty84070258;value:4784747415
key:ty8628723124;value:29863738619
key:ty4762510696;value:4666323894
key:ty9100657790;value:85639123809
key:ty2725614637;value:42496007859
key:ty4441610958;value:19528938742
key:ty1605518730;value:71610154912
key:ty1614391530;value:4481533415
key:ty8937297641;value:50044030374
key:ty6775009899;value:17460799449
key:ty1527590537;value:97835846538
key:ty8585870358;value:687233805
key:ty7801216899;value:50860800557
key:ty3897174027;value:97762743635
key:ty1300381545;value:3851820509
key:ty5180258578;value:98241133446
key:ty453260570;value:76123901251
key:ty2919030481;value:91121675487
key:ty2005226448;value:99759146560
key:ty7369858337;value:56386471845
key:ty8184221742;value:47281857668
key:ty99506247;value:54133629137
key:ty1853204236;value:92986516637
key:ty5067962249;value:8348459315
key:ty4121273443;value:70414966785
key:ty6788093887;value:73929822995
key:ty8853046140;value:44043360420
key:ty118050139;value:21389596229
key:ty6153391168;value:74708729177
key:ty798925726;value:20232273136
key:ty4221920614;value:70443668813
key:ty1676470467;value:63757172991
key:ty7425273836;value:41799220336
key:ty7564978248;value:46691262342
key:ty9705676000;value:82966387206
key:ty5535791348;value:68987089983
key:ty4959298018;value:97222391955
key:ty6420682408;value:32333839867
key:ty7834193784;value:53565742569
key:ty2664240792;value:54440680645
key:ty518277700;value:56046485060
key:ty355061836;value:55296594937
key:ty2086843964;value:30163855235
key:ty7533560236;value:77626370052
key:ty8675712254;value:68652051367
key:ty7400896758;value:49834880870
key:ty8146598089;value:37498322887
key:ty572489266;value:53370825614
key:ty52591929;value:82364529977
key:ty1515944027;value:36633711008
key:ty8369667651;value:76497654014
key:ty5146164654;value:28194287362
key:ty622649824;value:12973487459
key:ty9846382808;value:84293798633
key:ty5770536660;value:25144715574
key:ty9668864239;value:8948221546
key:ty8166637172;value:3520335191
key:ty8136138830;value:62810332680
key:ty7366042357;value:28190363844
key:ty6731521385;value:22819208839
key:ty6420879275;value:59476251926
key:ty8930614185;value:61678792469
key:ty6782111124;value:76136478590
key:ty8075920968;value:33484707117
key:ty7903765397;value:26427484251
key:ty1297859515;value:41010327508
key:ty8921352229;value:94494902845
key:ty6492821813;value:32605902518
key:ty6698230766;value:57889510754
key:ty6971455706;value:60224137637
key:ty3611097472;value:75736590453
key:ty3484346191;value:77750108034
key:ty1360033492;value:78922087425
key:ty5547025376;value:92522949922
key:ty2247313912;value:29454605546
key:ty3070051956;value:76772442354
key:ty8531587784;value:16072987844
key:ty548040581;value:7287854656
key:ty7570931552;value:37386007041
key:ty8569545137;value:42225051762
key:ty8728418918;value:84238972593
key:ty2835228686;value:21660126248
key:ty2016130617;value:37420561524
key:ty4951864763;value:34512257198
key:ty5777496046;value:95288354262
key:ty7300921438;value:79937257486
key:ty7865611896;value:16752435154
key:ty4000736819;value:18078528040
key:ty4302821134;value:86391546126
key:ty9023485404;value:12297732238
key:ty3272225136;value:63618625703
key:ty9368258251;value:82221737463
key:ty9635071220;value:3528328767
key:ty1253034414;value:13041348425
key:ty6401139441;value:77172209642
key:ty5300120740;value:2240523449
key:ty5946145550;value:41650350597
key:ty5951853636;value:47792882847
key:ty1963183846;value:2388800700
key:ty3075901177;value:51935686014
key:ty2790969091;value:66710567472
key:ty2015652405;value:42810565648
key:ty2410214732;value:81808600855
key:ty5480044152;value:44403597154
key:ty5795677168;value:39328424794
key:ty5367632108;value:84658825039
key:ty3063082618;value:17091844970
key:ty6864672281;value:85000510741
key:ty2304430605;value:54887848109
key:ty2189460226;value:95666472479
key:ty3237840609;value:55214037462
key:ty5680202925;value:73937766316
key:ty5983466385;value:27378023230
key:ty7962028551;value:20227579466
key:ty9362406952;value:20827302320
key:ty3307251595;value:89628600813
key:ty834103565;value:50148009630
key:ty4170000851;value:15848441046
key:ty7353152317;value:34761916851
key:ty940889234;value:21309828824
key:ty3763662063;value:79146906295
key:ty4036227883;value:84518218366
key:ty2426529496;value:54882043596
key:ty6580845131;value:38599436567
key:ty1857589982;value:23048536310
key:ty47355486;value:89321031935
key:ty1946749380;value:52542250194
key:ty3459191919;value:80608788986
key:ty7759023910;value:59070540735
key:ty1375194483;value:39670063531
key:ty9054729210;value:94527612065
key:ty307257713;value:70320513925
key:ty2051710110;value:95948991146
key:ty141039780;value:8391023764
key:ty458483552;value:54260254765
key:ty8891203870;value:6847771056
key:ty7004763653;value:47985208523
key:ty8352034928;value:16576196223
key:ty7647238117;value:66491571461
key:ty6020797907;value:23193859599
key:ty2529067427;value:84511676549
key:ty6291824108;value:77700831549
key:ty9914809014;value:83007213795
key:ty925918675;value:76918778810
key:ty964287510;value:62076003196
key:ty6659397272;value:34475837204
key:ty9889172281;value:86688587055
key:ty6078167209;value:95223480822
key:ty9209937715;value:5677975750
key:ty4368386019;value:85545929972
key:ty4491871862;value:9229269542
key:ty9675495378;value:98419572733
key:ty6047751305;value:82096820688
key:ty5485804782;value:95415962052
key:ty4168452047;value:94092215534
key:ty1358389615;value:71136836266
key:ty5602143758;value:20586785607
key:ty9247994642;value:11558115276
key:ty3484722602;value:11173836662
key:ty8817454064;value:20025806460
key:ty5670389759;value:2051281907
key:ty1430400104;value:24734462873
key:ty7292815919;value:62360321540
key:ty1516874046;value:14952077348
key:ty4766054573;value:60341560031
key:ty2304619054;value:7059969820
